Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
default,socket,2,1,0.68
default,socket,2,2,0.67
default,socket,2,4,0.60
default,socket,2,8,0.59
default,socket,2,16,0.59
default,socket,2,32,0.71
default,socket,2,64,0.70
default,socket,2,128,0.84
default,socket,2,256,0.90
default,socket,2,512,1.08
default,socket,2,1024,1.30
default,socket,2,2048,1.63
default,socket,3,1,1.20
default,socket,3,2,1.22
default,socket,3,4,1.25
default,socket,3,8,1.24
default,socket,3,16,1.25
default,socket,3,32,1.11
default,socket,3,64,1.12
default,socket,3,128,1.36
default,socket,3,256,1.83
default,socket,3,512,1.47
default,socket,3,1024,1.65
default,socket,3,2048,2.21
default,socket,4,1,0.97
default,socket,4,2,0.92
default,socket,4,4,0.97
default,socket,4,8,0.98
default,socket,4,16,1.00
default,socket,4,32,1.05
default,socket,4,64,1.06
default,socket,4,128,1.43
default,socket,4,256,1.33
default,socket,4,512,1.70
default,socket,4,1024,1.73
default,socket,4,2048,2.57
default,socket,5,1,0.84
default,socket,5,2,0.86
default,socket,5,4,0.92
default,socket,5,8,0.97
default,socket,5,16,0.98
default,socket,5,32,1.10
default,socket,5,64,1.04
default,socket,5,128,1.38
default,socket,5,256,1.43
default,socket,5,512,1.78
default,socket,5,1024,1.97
default,socket,5,2048,2.62
default,socket,6,1,1.29
default,socket,6,2,1.21
default,socket,6,4,1.38
default,socket,6,8,1.37
default,socket,6,16,1.38
default,socket,6,32,1.55
default,socket,6,64,1.46
default,socket,6,128,2.15
default,socket,6,256,2.20
default,socket,6,512,2.32
default,socket,6,1024,2.49
default,socket,6,2048,3.39
default,socket,7,1,1.22
default,socket,7,2,1.25
default,socket,7,4,1.31
default,socket,7,8,1.30
default,socket,7,16,1.32
default,socket,7,32,1.51
default,socket,7,64,1.39
default,socket,7,128,2.06
default,socket,7,256,2.08
default,socket,7,512,2.21
default,socket,7,1024,2.52
default,socket,7,2048,3.29
default,socket,8,1,1.24
default,socket,8,2,1.29
default,socket,8,4,1.45
default,socket,8,8,1.62
default,socket,8,16,1.58
default,socket,8,32,1.97
default,socket,8,64,1.63
default,socket,8,128,2.81
default,socket,8,256,2.63
default,socket,8,512,2.66
default,socket,8,1024,3.11
default,socket,8,2048,4.45
default,socket,9,1,2.06
default,socket,9,2,2.10
default,socket,9,4,2.21
default,socket,9,8,2.11
default,socket,9,16,2.09
default,socket,9,32,2.46
default,socket,9,64,2.61
default,socket,9,128,3.44
default,socket,9,256,3.53
default,socket,9,512,3.83
default,socket,9,1024,3.95
default,socket,9,2048,5.40
default,socket,10,1,1.65
default,socket,10,2,1.87
default,socket,10,4,1.90
default,socket,10,8,2.15
default,socket,10,16,2.34
default,socket,10,32,2.48
default,socket,10,64,2.05
default,socket,10,128,3.19
default,socket,10,256,3.25
default,socket,10,512,3.62
default,socket,10,1024,3.66
default,socket,10,2048,5.13
default,socket,11,1,1.85
default,socket,11,2,1.81
default,socket,11,4,1.93
default,socket,11,8,2.10
default,socket,11,16,2.24
default,socket,11,32,2.45
default,socket,11,64,2.00
default,socket,11,128,3.45
default,socket,11,256,3.56
default,socket,11,512,3.80
default,socket,11,1024,3.34
default,socket,11,2048,5.32
default,socket,12,1,1.65
default,socket,12,2,1.69
default,socket,12,4,1.68
default,socket,12,8,1.99
default,socket,12,16,2.13
default,socket,12,32,2.46
default,socket,12,64,1.95
default,socket,12,128,3.15
default,socket,12,256,3.22
default,socket,12,512,3.73
default,socket,12,1024,4.10
default,socket,12,2048,5.63
default,socket,13,1,1.22
default,socket,13,2,1.54
default,socket,13,4,1.66
default,socket,13,8,1.94
default,socket,13,16,2.40
default,socket,13,32,2.74
default,socket,13,64,1.99
default,socket,13,128,3.10
default,socket,13,256,3.19
default,socket,13,512,3.48
default,socket,13,1024,3.84
default,socket,13,2048,5.55
default,socket,14,1,1.11
default,socket,14,2,1.58
default,socket,14,4,1.45
default,socket,14,8,1.74
default,socket,14,16,1.92
default,socket,14,32,2.52
default,socket,14,64,2.01
default,socket,14,128,3.18
default,socket,14,256,3.27
default,socket,14,512,3.60
default,socket,14,1024,3.97
default,socket,14,2048,6.01
